#Provincia;Provincia;#De Casos;Defunciones;Date;Boletines;Recuperados;Dia
1;Distrito Nacional;14;0;18/3/2020;Boletin #1;0;1
2;Azua;0;0;18/3/2020;Boletin #1;0;1
3;Bahoruco;0;0;18/3/2020;Boletin #1;0;1
4;Barahona;0;0;18/3/2020;Boletin #1;0;1
5;Dajabon;0;0;18/3/2020;Boletin #1;0;1
6;Duarte;2;1;18/3/2020;Boletin #1;0;1
7;Elias Pina;0;0;18/3/2020;Boletin #1;0;1
8;El Seibo;0;0;18/3/2020;Boletin #1;0;1
9;Espaillat;0;0;18/3/2020;Boletin #1;0;1
10;Independecia;0;0;18/3/2020;Boletin #1;0;1
11;La Altagracia;2;0;18/3/2020;Boletin #1;0;1
12;La Romana;0;0;18/3/2020;Boletin #1;0;1
13;La Vega;0;0;18/3/2020;Boletin #1;0;1
14;Maria Trinidad Sanchez;0;0;18/3/2020;Boletin #1;0;1
15;Monte Cristi;0;0;18/3/2020;Boletin #1;0;1
16;Pedernales;0;0;18/3/2020;Boletin #1;0;1
17;Peravia;0;0;18/3/2020;Boletin #1;0;1
18;Puerto Plata;3;0;18/3/2020;Boletin #1;0;1
19;Hermanas Mirabal;2;0;18/3/2020;Boletin #1;0;1
20;Samana;4;0;18/3/2020;Boletin #1;0;1
21;San Cristobal;0;0;18/3/2020;Boletin #1;0;1
22;San Juan;1;0;18/3/2020;Boletin #1;0;1
23;San Pedro de Macoris;1;1;18/3/2020;Boletin #1;0;1
24;Sanchez Ramirez;0;0;18/3/2020;Boletin #1;0;1
25;Santiago;3;0;18/3/2020;Boletin #1;0;1
26;Santiago Rodriguez;0;0;18/3/2020;Boletin #1;0;1
27;Valverde;0;0;18/3/2020;Boletin #1;0;1
28;Monsenor Nouel;0;0;18/3/2020;Boletin #1;0;1
29;Monte Plata;0;0;18/3/2020;Boletin #1;0;1
30;Hato Mayor;0;0;18/3/2020;Boletin #1;0;1
31;San Jose De Ocoa;0;0;18/3/2020;Boletin #1;0;1
32;Santo Domingo;2;0;18/3/2020;Boletin #1;0;1
1;Distrito Nacional;51;0;20/3/2020;Boletin #2;0;2
2;Azua;2;0;20/3/2020;Boletin #2;0;2
3;Bahoruco;0;0;20/3/2020;Boletin #2;0;2
4;Barahona;1;0;20/3/2020;Boletin #2;0;2
5;Dajabon;0;0;20/3/2020;Boletin #2;0;2
6;Duarte;4;1;20/3/2020;Boletin #2;0;2
7;Elias Pina;0;0;20/3/2020;Boletin #2;0;2
8;El Seibo;0;0;20/3/2020;Boletin #2;0;2
9;Espaillat;1;0;20/3/2020;Boletin #2;0;2
10;Independecia;0;0;20/3/2020;Boletin #2;0;2
11;La Altagracia;7;0;20/3/2020;Boletin #2;0;2
12;La Romana;0;0;20/3/2020;Boletin #2;0;2
13;La Vega;4;0;20/3/2020;Boletin #2;0;2
14;Maria Trinidad Sanchez;2;0;20/3/2020;Boletin #2;0;2
15;Monte Cristi;0;0;20/3/2020;Boletin #2;0;2
16;Pedernales;0;0;20/3/2020;Boletin #2;0;2
17;Peravia;0;0;20/3/2020;Boletin #2;0;2
18;Puerto Plata;3;0;20/3/2020;Boletin #2;0;2
19;Hermanas Mirabal;2;0;20/3/2020;Boletin #2;0;2
20;Samana;4;0;20/3/2020;Boletin #2;0;2
21;San Cristobal;1;0;20/3/2020;Boletin #2;0;2
22;San Juan;1;1;20/3/2020;Boletin #2;0;2
23;San Pedro de Macoris;4;1;20/3/2020;Boletin #2;0;2
24;Sanchez Ramirez;0;0;20/3/2020;Boletin #2;0;2
25;Santiago;12;0;20/3/2020;Boletin #2;0;2
26;Santiago Rodriguez;0;0;20/3/2020;Boletin #2;0;2
27;Valverde;1;0;20/3/2020;Boletin #2;0;2
28;Monsenor Nouel;1;0;20/3/2020;Boletin #2;0;2
29;Monte Plata;0;0;20/3/2020;Boletin #2;0;2
30;Hato Mayor;0;0;20/3/2020;Boletin #2;0;2
31;San Jose De Ocoa;0;0;20/3/2020;Boletin #2;0;2
32;Santo Domingo;10;0;20/3/2020;Boletin #2;0;2
1;Distrito Nacional;88;0;21/3/2020;Boletin #3;0;3
2;Azua;2;0;21/3/2020;Boletin #3;0;3
3;Bahoruco;0;0;21/3/2020;Boletin #3;0;3
4;Barahona;1;0;21/3/2020;Boletin #3;0;3
5;Dajabon;0;0;21/3/2020;Boletin #3;0;3
6;Duarte;8;1;21/3/2020;Boletin #3;0;3
7;Elias Pina;0;0;21/3/2020;Boletin #3;0;3
8;El Seibo;0;0;21/3/2020;Boletin #3;0;3
9;Espaillat;1;0;21/3/2020;Boletin #3;0;3
10;Independecia;0;0;21/3/2020;Boletin #3;0;3
11;La Altagracia;7;0;21/3/2020;Boletin #3;0;3
12;La Romana;3;0;21/3/2020;Boletin #3;0;3
13;La Vega;7;0;21/3/2020;Boletin #3;0;3
14;Maria Trinidad Sanchez;2;0;21/3/2020;Boletin #3;0;3
15;Monte Cristi;0;0;21/3/2020;Boletin #3;0;3
16;Pedernales;0;0;21/3/2020;Boletin #3;0;3
17;Peravia;0;0;21/3/2020;Boletin #3;0;3
18;Puerto Plata;3;0;21/3/2020;Boletin #3;0;3
19;Hermanas Mirabal;2;0;21/3/2020;Boletin #3;0;3
20;Samana;4;0;21/3/2020;Boletin #3;0;3
21;San Cristobal;1;0;21/3/2020;Boletin #3;0;3
22;San Juan;2;1;21/3/2020;Boletin #3;0;3
23;San Pedro de Macoris;6;1;21/3/2020;Boletin #3;0;3
24;Sanchez Ramirez;1;0;21/3/2020;Boletin #3;0;3
25;Santiago;29;0;21/3/2020;Boletin #3;0;3
26;Santiago Rodriguez;0;0;21/3/2020;Boletin #3;0;3
27;Valverde;1;0;21/3/2020;Boletin #3;0;3
28;Monsenor Nouel;2;0;21/3/2020;Boletin #3;0;3
29;Monte Plata;0;0;21/3/2020;Boletin #3;0;3
30;Hato Mayor;0;0;21/3/2020;Boletin #3;0;3
31;San Jose De Ocoa;0;0;21/3/2020;Boletin #3;0;3
32;Santo Domingo;31;0;21/3/2020;Boletin #3;0;3
1;Distrito Nacional;108;0;22/3/2020;Boletin #4;0;4
2;Azua;2;0;22/3/2020;Boletin #4;0;4
3;Bahoruco;0;0;22/3/2020;Boletin #4;0;4
4;Barahona;1;0;22/3/2020;Boletin #4;0;4
5;Dajabon;0;0;22/3/2020;Boletin #4;0;4
6;Duarte;17;1;22/3/2020;Boletin #4;0;4
7;Elias Pina;0;0;22/3/2020;Boletin #4;0;4
8;El Seibo;0;0;22/3/2020;Boletin #4;0;4
9;Espaillat;1;0;22/3/2020;Boletin #4;0;4
10;Independecia;0;0;22/3/2020;Boletin #4;0;4
11;La Altagracia;7;0;22/3/2020;Boletin #4;0;4
12;La Romana;6;0;22/3/2020;Boletin #4;0;4
13;La Vega;7;0;22/3/2020;Boletin #4;0;4
14;Maria Trinidad Sanchez;2;0;22/3/2020;Boletin #4;0;4
15;Monte Cristi;0;0;22/3/2020;Boletin #4;0;4
16;Pedernales;0;0;22/3/2020;Boletin #4;0;4
17;Peravia;0;0;22/3/2020;Boletin #4;0;4
18;Puerto Plata;3;0;22/3/2020;Boletin #4;0;4
19;Hermanas Mirabal;3;0;22/3/2020;Boletin #4;0;4
20;Samana;4;0;22/3/2020;Boletin #4;0;4
21;San Cristobal;1;0;22/3/2020;Boletin #4;0;4
22;San Juan;2;1;22/3/2020;Boletin #4;0;4
23;San Pedro de Macoris;7;1;22/3/2020;Boletin #4;0;4
24;Sanchez Ramirez;1;0;22/3/2020;Boletin #4;0;4
25;Santiago;30;0;22/3/2020;Boletin #4;0;4
26;Santiago Rodriguez;0;0;22/3/2020;Boletin #4;0;4
27;Valverde;1;0;22/3/2020;Boletin #4;0;4
28;Monsenor Nouel;3;0;22/3/2020;Boletin #4;0;4
29;Monte Plata;0;0;22/3/2020;Boletin #4;0;4
30;Hato Mayor;0;0;22/3/2020;Boletin #4;0;4
31;San Jose De Ocoa;0;0;22/3/2020;Boletin #4;0;4
32;Santo Domingo;39;0;22/3/2020;Boletin #4;0;4
1;Distrito Nacional;137;0;23/3/2020;Boletin #5;0;5
2;Azua;1;0;23/3/2020;Boletin #5;0;5
3;Bahoruco;0;0;23/3/2020;Boletin #5;0;5
4;Barahona;1;0;23/3/2020;Boletin #5;0;5
